cid,course_code,serial_no,course_name,department,reg_sel,credits,restrict,time,location,instructor,year,term,quota,authorize_quota,interschool_quota,english,dept_code,note
226,00UA7A3,0213,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正203,謝秀卉,110,1,35,5,0,"",CU,""
227,00UA7A3,0214,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正204,未定,110,1,35,5,0,"",CU,""
228,00UA7A3,0215,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正205,未定,110,1,35,5,0,"",CU,""
229,00UA7A3,0216,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正301,未定,110,1,35,5,0,"",CU,""
230,00UA7A3,0217,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正305,未定,110,1,35,5,0,"",CU,""
231,00UA7A3,0218,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正306,未定,110,1,35,5,0,"",CU,""
232,00UA7A3,0219,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正402A,未定,110,1,35,5,0,"",CU,""
233,00UA7A4,0220,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限競技系選修,五 1-2,本部 樸401,徐國能,110,1,65,5,0,"",CU,""
234,00UA7A4,0221,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限光電工程學位學程、數學系、物理系、化學系、生科系、地科系、資工系、營養科學學位學程選修,五 1-2,公館 Ｓ201,謝秀卉,110,1,35,5,0,"",CU,""
235,00UA7A4,0222,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限光電工程學位學程、數學系、物理系、化學系、生科系、地科系、資工系、營養科學學位學程選修,五 1-2,公館 Ｓ202,未定,110,1,35,5,0,"",CU,""
